1;4534;12018;1
2;3802;12027;1
3;4428;11503;1
4;4809;142;-1
5;4259;1721;-1
6;4233;7452;-1
7;4236;10528;1
8;3926;3953;-1
9;4294;12428;1
10;3970;13767;1
11;4543;11886;1
12;3941;13333;1
13;4682;1197;-1
14;4319;13980;1
15;4456;1563;-1
16;3617;3892;-1
17;6254;6292;-1
18;7209;12287;1
19;3479;3766;-1
20;3889;10197;1
21;3498;14465;1
22;5275;11994;1
23;4161;1787;-1
24;3937;11975;1
25;4382;11551;1
26;10217;6459;0
27;5204;10598;0
28;4012;180;-1
29;3320;2336;-1
30;5813;1027;-1
31;4937;12010;1
32;4087;11118;1
33;4356;13641;1
34;3847;1228;-1
35;4384;14685;1
36;4047;11497;1
37;3944;11858;1
38;3553;2006;-1
39;4853;11138;1
40;3710;12841;1
41;3065;14423;1
42;3095;3714;-1
43;4336;11000;1
44;7055;13066;0
45;9592;4340;-1
46;4954;10613;1
47;4568;1406;-1
48;3926;2370;-1
49;3801;4099;-1
50;4203;1507;-1
51;3502;2962;-1
52;4140;12197;1
53;4544;10812;1
54;4813;13056;1
55;3385;12609;1
56;3287;3369;-1
57;3816;11942;1
58;3846;12077;1
59;3841;2926;-1
60;3613;3651;-1
61;3543;11547;1
62;3242;4020;-1
63;3035;1581;-1
64;3678;11430;1
65;3211;2463;-1
66;4321;299;-1
67;4631;2459;-1
68;4927;17;-1
69;3990;1504;-1
70;3823;12521;1
71;4304;340;-1
72;4869;13552;1
73;3841;3817;-1
74;3371;12722;1
75;3230;1719;-1
76;3566;13155;1
77;4368;13192;1
78;4972;14269;1
79;4560;281;-1
80;4734;622;-1
81;2994;4190;-1
82;3825;14878;1
83;4123;3532;-1
84;4315;981;-1
85;3605;3433;-1
86;11839;8578;0
87;4349;62;-1
88;4809;11645;1
89;4333;13670;1
90;6490;11666;1
91;4744;683;-1
92;5302;11208;1
93;7473;12070;0
94;3673;1575;-1
95;4504;12373;1
96;3435;13695;1
97;4190;12673;1
98;4575;9988;1
99;3409;12876;1
100;4300;12316;1
101;4808;1274;-1
102;4595;498;-1
103;3682;3485;-1
104;4069;8879;-1
105;3734;12279;1
106;3248;4797;-1
107;4285;2325;-1
108;5169;494;-1
109;4389;13063;1
110;4608;11993;1
111;3834;1846;-1
112;2996;4330;-1
113;3877;13176;1
114;4587;221;-1
115;4366;1224;-1
116;5369;12833;0
117;7177;4689;-1
118;4861;706;-1
119;4560;245;-1
120;4509;11261;1
121;3957;11347;1
122;3731;12583;1
123;3651;2878;-1
124;9777;11684;0
125;3106;2887;-1
126;2959;3164;-1
127;3711;2579;-1
128;4316;932;-1
129;4721;12437;1
130;4334;10530;1
131;3540;3358;-1
132;3465;14050;1
133;4050;551;-1
134;4297;12768;1
135;3902;2062;-1
136;4032;11720;1
137;5104;949;-1
138;3706;2249;-1
139;4296;12544;1
140;4116;788;-1
141;4719;1567;-1
142;4848;1058;-1
143;4479;1476;-1
144;3694;936;-1
145;3708;349;-1
146;4742;246;-1
147;4385;114;-1
148;4093;641;-1
149;3407;2019;-1
150;3698;3597;-1
151;4390;10144;1
152;3666;2712;-1
153;3774;1989;-1
154;3278;13226;1
155;3515;14603;1
156;4377;624;-1
157;3923;1249;-1
158;3911;2151;-1
159;3355;12652;1
160;4492;6229;-1
161;3013;4003;-1
162;3382;12055;1
163;3884;2844;-1
164;4228;10631;1
165;4555;1268;-1
166;3495;2486;-1
167;2139;921;-1
168;3646;239;-1
169;3528;2471;-1
170;4498;1201;-1
171;5927;11944;1
172;3292;13854;1
173;4281;9642;1
174;4380;6142;-1
175;3102;1549;-1
176;7653;954;-1
177;4322;900;-1
178;5021;1312;-1
179;3693;3049;-1
180;5189;1543;-1
181;4240;13360;1
182;3403;5817;-1
183;4880;12814;1
184;3501;1128;-1
185;3975;1147;-1
186;3611;3281;-1
187;4871;494;-1
188;3699;12628;1
189;3460;2765;-1
190;3184;4370;-1
191;2020;1356;-1
192;4177;1153;-1
193;4273;13275;1
194;3924;13516;1
195;3333;3461;-1
196;5534;963;-1
197;3317;12902;1
198;4071;765;-1
199;4928;1871;-1
200;3321;13976;1
201;3590;781;-1
202;3573;2679;-1
203;3449;2891;-1
204;4433;1710;-1
205;5060;1328;-1
206;3482;3093;-1
207;6828;13104;0
208;3293;3580;-1
209;4206;11745;1
210;6306;1098;-1
211;3684;2835;-1
212;3530;521;-1
213;3384;3556;-1
214;4502;11785;1
215;4558;11753;1
216;3481;2686;-1
217;5216;1118;-1
218;7209;11625;0
219;4390;11523;1
220;3967;6092;-1
221;3589;3022;-1
222;3877;12672;1
223;4106;783;-1
224;5163;1649;-1
225;4579;665;-1
226;3656;12313;1
227;4301;13203;1
228;3705;10811;1
229;4555;1149;-1
230;7726;7796;0
231;72;1110;-1
232;4114;12676;1
233;3208;2108;-1
234;3912;1761;-1
235;3924;2459;-1
236;5328;432;-1
237;4977;11379;1
238;4214;1272;-1
239;3871;14249;1
240;3259;15075;1
241;5248;9379;1
242;3700;2270;-1
243;3923;772;-1
244;3987;13367;1
245;3921;12258;1
246;3149;13825;1
247;3252;14363;1
248;3387;14346;1
249;4445;14116;1
250;4430;11230;1
251;3461;2860;-1
252;3633;13703;1
253;5067;12744;1
